Urban,Rural
,
,
0.1259599516468316,0.2412432247160571
0.0711423166112237,0.2719184449747012
0.0705418752530912,0.0772812449375501
-0.330517703823168,-0.0583357162969714
-0.2386078684017712,-0.2236516131434093
-0.2839931108921164,-0.0469447611767884
-0.1240789975352352,0.114618497059896
-0.0331992696625026,-0.0639639362120448
-0.2807353283743617,0.1420300065624744
0.0630295614930376,0.1058931223398284
0.0717596470907078,0.083813074263143
-0.0960515199511342,0.0500375253714406
0.1084934850468701,0.1728112797013893
-0.1707022143922938,-0.0551439610258308
-0.2789717751541426,-0.069930231833484
-0.1990872198667095,-0.2046569601609957
0.1997985613504808,0.4542155651382568
0.2901190999406035,0.3354806268708718
0.6372741074603068,0.5745319204646787
0.3078164479177438,0.599673349297568
0.1064128894541408,0.2748518455724155
-0.0159032900105429,-0.0216699910042959
-0.1106706875240671,-0.0463355580907617
0.0633384355954296,0.2074839303981702
0.2190281727031481,0.2331077746477211
0.2380389411409438,0.2404460029892185
0.2470594769616237,0.4911941376784485
0.0763353195170785,0.1396376854603473
0.0916049710989422,0.1086304695865639
0.0883909423424444,0.1371645713446546
0.0645742577278555,0.0469450112058438
0.0035367825499222,0.0648848670768617
0.0194638690580023,0.0161885897669516
0.1388796252758364,0.2249400524276964
0.2296885761575763,0.2280996890649604
-0.0132053680789732,0.2654493637785685
0.0577597401541019,0.0417237615378854
-0.0110973134416027,-0.0132674153014364
-0.0135334461592227,0.2705815665395706
0.3960955869666078,0.6690719383557339
0.7682478513743892,0.7707604835225889
0.572080768463975,0.5207453436146381
0.7416447614397038,0.7442200515328511
0.3946177084817217,0.604660146191155
0.3548634418449998,0.3501351467638542
-0.0160936939979918,-0.029342321917382
0.0113663722110147,0.2063831025297117
-0.1171355998084328,-0.0438104626208715
-0.0722873610236359,-0.0110499978925484
-0.0024720681726765,0.080584049347128
0.3428722088296407,0.356470758307944
0.3820003530983542,0.3975638054191394
0.3091923204831165,0.3947497218773094
0.379944995102344,0.3778278144134603
0.5053925971059803,0.5072721507708803
0.4042041137424554,0.4044848834897617
0.3265561867435901,0.3759053801497158
0.2636459364020501,0.2280104226842782
0.1885544349762309,0.1862731517741827
0.128099102185236,0.1258230827567225
0.0532255038115263,0.2211246265413408
0.015684737208731,0.1483296681412815
0.1546234032119596,0.1638822307798867
-0.0180695210980553,0.1394484503492035
0.3550579828476047,0.3541881135149675
0.4344295547466302,0.4698633704199029
0.7485091872109227,0.7408125755193279
0.5064925852450374,0.4905216989563383
0.4973377745314319,0.7478608890424675
0.2547024018444229,0.2468035026127459
0.0571532855336728,0.3088485792690254
-0.1917398194192485,0.0919273680180873
-0.1748697738876667,-0.0179610182976925
0.1366400861906511,0.1178780975267752
-0.2493752965418954,-0.0041363201052014
0.0272912201362795,0.0319171016525426
-0.3366184378531465,-0.0478941635748526
0.166933368446323,0.1638672430064856
0.2038366830971674,0.1667351481826086
-0.1291886716582826,-0.1403828194389432
-0.3805597933889283,-0.3959064448792693
-0.4397618760922092,-0.461297432267568
-0.3175620176906608,-0.320636825117095
-0.2688165614986289,-0.2820974185118738
-0.1633700613052023,-0.1503365020042342
-0.266443777861708,-0.1246136241193998
